Date,Demand
1-Apr-15,2155
2-Apr-15,1930
3-Apr-15,1656
4-Apr-15,2750
5-Apr-15,2850
6-Apr-15,1621
7-Apr-15,1878
8-Apr-15,2971
9-Apr-15,2775
10-Apr-15,1779
11-Apr-15,1568
12-Apr-15,1897
13-Apr-15,1955
14-Apr-15,2015
15-Apr-15,3034
16-Apr-15,1559
17-Apr-15,2280
18-Apr-15,3358
19-Apr-15,3365
20-Apr-15,3416
21-Apr-15,3429
22-Apr-15,2710
23-Apr-15,3534
24-Apr-15,3644
25-Apr-15,2922
26-Apr-15,4028
27-Apr-15,3823
28-Apr-15,3112
29-Apr-15,4122
30-Apr-15,3721
1-May-15,3483
2-May-15,3450
3-May-15,3802
4-May-15,3744
5-May-15,3413
6-May-15,3197
7-May-15,3795
8-May-15,2706
9-May-15,4284
10-May-15,3500
11-May-15,3422
12-May-15,2853
13-May-15,2742
14-May-15,4867
15-May-15,4744
16-May-15,3132
17-May-15,2830
18-May-15,3636
19-May-15,4410
20-May-15,3356
21-May-15,2716
22-May-15,3462
23-May-15,3313
24-May-15,3248
25-May-15,4326
26-May-15,4605
27-May-15,3978
28-May-15,3325
29-May-15,3897
30-May-15,3771
31-May-15,3825
1-Jun-15,4122
2-Jun-15,4787
3-Jun-15,4507
4-Jun-15,3328
5-Jun-15,4188
6-Jun-15,4635
7-Jun-15,4433
8-Jun-15,3665
9-Jun-15,3551
10-Jun-15,4227
11-Jun-15,5306
12-Jun-15,3817
13-Jun-15,3508
14-Jun-15,3492
15-Jun-15,4357
16-Jun-15,3611
17-Jun-15,4305
18-Jun-15,3637
19-Jun-15,3422
20-Jun-15,4590
21-Jun-15,4364
22-Jun-15,4659
23-Jun-15,4564
24-Jun-15,5178
25-Jun-15,3985
26-Jun-15,3808
27-Jun-15,3195
28-Jun-15,3507
29-Jun-15,3482
30-Jun-15,4387
1-Jul-15,3320
2-Jul-15,3754
3-Jul-15,3208
4-Jul-15,3221
5-Jul-15,4267
6-Jul-15,5107
7-Jul-15,5344
8-Jul-15,4375
9-Jul-15,4023
10-Jul-15,3218
11-Jul-15,2886
12-Jul-15,3782
13-Jul-15,3912
14-Jul-15,3354
15-Jul-15,4145
16-Jul-15,2653
17-Jul-15,3222
18-Jul-15,2790
19-Jul-15,2907
20-Jul-15,2691
21-Jul-15,3292
22-Jul-15,3155
23-Jul-15,3009
24-Jul-15,2485
25-Jul-15,2412
26-Jul-15,2684
27-Jul-15,3365
28-Jul-15,3322
29-Jul-15,2578
30-Jul-15,3154
31-Jul-15,3015
1-Aug-15,2566
2-Aug-15,2819
3-Aug-15,2828
4-Aug-15,2958
5-Aug-15,2561
6-Aug-15,2027
7-Aug-15,2979
8-Aug-15,2968
9-Aug-15,3182
10-Aug-15,4036
11-Aug-15,3502
12-Aug-15,3224
13-Aug-15,3228
14-Aug-15,3020
15-Aug-15,3707
16-Aug-15,1542
17-Aug-15,4694
18-Aug-15,2655
19-Aug-15,3341
20-Aug-15,3434
21-Aug-15,3520
22-Aug-15,3512
23-Aug-15,2831
24-Aug-15,3328
25-Aug-15,3732
26-Aug-15,3280
27-Aug-15,3412
28-Aug-15,4567
29-Aug-15,4183
30-Aug-15,3416
31-Aug-15,3489
1-Sep-15,3428
2-Sep-15,3721
3-Sep-15,4254
4-Sep-15,4335
5-Sep-15,3723
6-Sep-15,3316
7-Sep-15,3513
8-Sep-15,3000
9-Sep-15,3371
10-Sep-15,3435
11-Sep-15,3398
12-Sep-15,3172
13-Sep-15,2989
14-Sep-15,4623
15-Sep-15,3812
16-Sep-15,3912
17-Sep-15,3557
18-Sep-15,3490
19-Sep-15,3115
20-Sep-15,3221
21-Sep-15,3764
22-Sep-15,4081
23-Sep-15,4341
24-Sep-15,3658
25-Sep-15,3376
26-Sep-15,3768
27-Sep-15,3622
28-Sep-15,3599
29-Sep-15,4238
30-Sep-15,4609
1-Oct-15,4247
2-Oct-15,3204
3-Oct-15,3909
4-Oct-15,4552
5-Oct-15,3918
6-Oct-15,2818
7-Oct-15,3289
8-Oct-15,3676
9-Oct-15,3330
10-Oct-15,3104
11-Oct-15,3696
12-Oct-15,4803
13-Oct-15,4522
14-Oct-15,5003
15-Oct-15,3641
16-Oct-15,3725
17-Oct-15,3777
18-Oct-15,4423
19-Oct-15,5412
20-Oct-15,5585
21-Oct-15,5175
22-Oct-15,4066
23-Oct-15,4158
24-Oct-15,3167
25-Oct-15,3355
26-Oct-15,3795
27-Oct-15,4531
28-Oct-15,4602
29-Oct-15,4532
30-Oct-15,4233
31-Oct-15,4031
1-Nov-15,3900
2-Nov-15,4168
3-Nov-15,4340
4-Nov-15,4850
5-Nov-15,4767
6-Nov-15,4916
7-Nov-15,4752
8-Nov-15,4169
9-Nov-15,5940
10-Nov-15,4510
11-Nov-15,3838
12-Nov-15,3847
13-Nov-15,4614
14-Nov-15,3778
15-Nov-15,4779
16-Nov-15,5093
17-Nov-15,4869
18-Nov-15,4889
19-Nov-15,5105
20-Nov-15,4569
21-Nov-15,4751
22-Nov-15,4786
23-Nov-15,5326
24-Nov-15,3497
25-Nov-15,4860
26-Nov-15,4825
27-Nov-15,4903
28-Nov-15,3529
29-Nov-15,4653
30-Nov-15,4552
1-Dec-15,2967
2-Dec-15,5670
3-Dec-15,5181
4-Dec-15,4592
5-Dec-15,4215
6-Dec-15,3952
7-Dec-15,3255
8-Dec-15,3911
9-Dec-15,4015
10-Dec-15,3580
11-Dec-15,3986
12-Dec-15,3893
13-Dec-15,3867
14-Dec-15,3549
15-Dec-15,3240
16-Dec-15,3657
17-Dec-15,2712
18-Dec-15,3555
19-Dec-15,3416
20-Dec-15,3446
21-Dec-15,3927
22-Dec-15,3621
23-Dec-15,3347
24-Dec-15,3004
25-Dec-15,3237
26-Dec-15,3104
27-Dec-15,2766
28-Dec-15,3365
29-Dec-15,3372
30-Dec-15,2754
31-Dec-15,3837
1-Jan-16,3769
2-Jan-16,3451
3-Jan-16,3237
4-Jan-16,3735
5-Jan-16,3111
6-Jan-16,3094
7-Jan-16,3236
8-Jan-16,3155
9-Jan-16,3503
10-Jan-16,2924
11-Jan-16,3231
12-Jan-16,3366
13-Jan-16,2613
14-Jan-16,2912
15-Jan-16,3280
16-Jan-16,3437
17-Jan-16,3584
18-Jan-16,3185
19-Jan-16,2908
20-Jan-16,3499
21-Jan-16,3262
22-Jan-16,3321
23-Jan-16,3209
24-Jan-16,3727
25-Jan-16,3703
26-Jan-16,3081
27-Jan-16,2847
28-Jan-16,3809
29-Jan-16,3440
30-Jan-16,3219
31-Jan-16,3450
1-Feb-16,3698
2-Feb-16,3478
3-Feb-16,3563
4-Feb-16,3576
5-Feb-16,3267
6-Feb-16,3713
7-Feb-16,3338
8-Feb-16,3201
9-Feb-16,2889
10-Feb-16,3603
11-Feb-16,3476
12-Feb-16,3443
13-Feb-16,3270
14-Feb-16,3342
15-Feb-16,3169
16-Feb-16,3421
17-Feb-16,3525
18-Feb-16,3357
19-Feb-16,3440
20-Feb-16,3251
21-Feb-16,3433
22-Feb-16,3077
23-Feb-16,3312
24-Feb-16,3235
25-Feb-16,3067
26-Feb-16,3414
27-Feb-16,3474
28-Feb-16,3171
29-Feb-16,3620
1-Mar-16,3806
2-Mar-16,3951
3-Mar-16,3229
4-Mar-16,3675
5-Mar-16,3531
6-Mar-16,3017
7-Mar-16,3661
8-Mar-16,3566
9-Mar-16,3136
10-Mar-16,3489
11-Mar-16,3389
12-Mar-16,3107
13-Mar-16,3226
14-Mar-16,3634
15-Mar-16,3162
16-Mar-16,2902
17-Mar-16,3305
18-Mar-16,3839
19-Mar-16,3456
20-Mar-16,3276
21-Mar-16,3707
22-Mar-16,4903
23-Mar-16,1430
24-Mar-16,3895
25-Mar-16,3867
26-Mar-16,4449
27-Mar-16,3653
28-Mar-16,2870
29-Mar-16,3451
30-Mar-16,3736
31-Mar-16,3955
1-Apr-16,3215
2-Apr-16,3563
3-Apr-16,3120
4-Apr-16,4297
5-Apr-16,3590
6-Apr-16,3384
7-Apr-16,3978
8-Apr-16,3573
9-Apr-16,3239
10-Apr-16,3434
11-Apr-16,3338
12-Apr-16,3849
13-Apr-16,3958
14-Apr-16,3914
15-Apr-16,3936
16-Apr-16,4459
17-Apr-16,4035
18-Apr-16,4765
19-Apr-16,4432
20-Apr-16,4609
21-Apr-16,4556
22-Apr-16,4818
23-Apr-16,3410
24-Apr-16,3871
25-Apr-16,4735
26-Apr-16,4641
27-Apr-16,3977
28-Apr-16,3750
29-Apr-16,3962
30-Apr-16,3625
1-May-16,3316
2-May-16,3961
3-May-16,3704
4-May-16,3306
5-May-16,3699
6-May-16,3327
7-May-16,3642
8-May-16,3793
9-May-16,3556
10-May-16,3390
11-May-16,3307
12-May-16,3385
13-May-16,3335
14-May-16,3050
15-May-16,3176
16-May-16,3823
17-May-16,3264
18-May-16,3261
19-May-16,3131
20-May-16,3503
21-May-16,3242
22-May-16,3072
23-May-16,3559
24-May-16,3227
25-May-16,3050
26-May-16,3080
27-May-16,3430
28-May-16,3346
29-May-16,2757
30-May-16,3323
31-May-16,3708
